,Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls.1,Ast.1,G+A,G PK,G+A PK,xG,npxG,xA,xG.1,xA.1,xG+xA,npxG.1,npxG+xA,Matches
247,248,Jamal Lewis,NIR,DF,Norwich City,21,1998,19,16,1498,1,0,0,0,2,0,0,0,0,0.06,0.06,0.3,0.3,0.4,0.02,0.02,0.04,0.02,0.04,Matches
248,249,Victor Lindelof,SWE,DF,Manchester Utd,25,1994,26,26,2340,1,0,0,0,5,0,0,0,0,0.04,0.04,0.4,0.4,0.4,0.01,0.02,0.03,0.01,0.03,Matches
249,250,Jesse Lingard,ENG,MFFW,Manchester Utd,26,1992,20,9,892,0,0,0,0,3,0,0,0,0,0,0,1.9,1.9,0.8,0.19,0.09,0.28,0.19,0.28,Matches
250,251,Hugo Lloris,FRA,GK,Tottenham,32,1986,12,12,997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
251,252,Giovani Lo Celso,ARG,MFFW,Tottenham,23,1996,19,7,878,0,0,0,0,5,0,0,0,0,0,0,0.9,0.9,0.9,0.09,0.1,0.19,0.09,0.19,Matches
252,253,Jurgen Locadia,NED,MFFW,Brighton,25,1993,2,1,86,0,0,0,0,0,0,0,0,0,0,0,0.4,0.4,0,0.4,0,0.4,0.4,0.4,Matches
253,254,Kevin Long,IRL,MF,Burnley,28,1990,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
254,255,Shane Long,IRL,FW,Southampton,32,1987,19,13,1136,2,2,0,0,0,0,0,0,0,0.16,0.32,4.5,4.5,1.2,0.36,0.1,0.45,0.36,0.45,Matches
255,256,Matthew Longstaff,ENG,MF,Newcastle Utd,19,2000,7,6,545,2,0,0,0,1,0,0,0,0,0.33,0.33,0.3,0.3,0.2,0.06,0.03,0.09,0.06,0.09,Matches
256,257,Sean Longstaff,ENG,MF,Newcastle Utd,21,1997,21,13,1304,0,1,0,0,2,1,0,0,0,0,0.07,0.8,0.8,0.9,0.05,0.06,0.12,0.05,0.12,Matches
257,258,Dejan Lovren,CRO,DF,Liverpool,30,1989,9,9,759,0,1,0,0,1,0,0,0,0,0,0.12,0.3,0.3,0.4,0.04,0.05,0.09,0.04,0.09,Matches
258,259,Matthew Lowton,ENG,DF,Burnley,30,1989,15,15,1350,0,1,0,0,2,0,0,0,0,0,0.07,0,0,1.1,0,0.07,0.07,0,0.07,Matches
259,260,David Luiz,BRA,DF,Arsenal,32,1987,25,25,2185,2,1,0,0,4,1,0,0,0,0.08,0.12,1.5,1.5,1,0.06,0.04,0.1,0.06,0.1,Matches
260,261,Douglas Luiz,BRA,MF,Aston Villa,21,1998,26,18,1719,3,2,0,0,4,0,0,0,0,0.16,0.26,2.1,2.1,0.8,0.11,0.04,0.15,0.11,0.15,Matches
261,262,John Lundstram,ENG,MF,Sheffield Utd,25,1994,27,23,2068,4,3,0,0,4,0,0,0,0,0.17,0.3,4.3,4.3,2.6,0.19,0.11,0.3,0.19,0.3,Matches
262,263,Alexis Mac Allister,ARG,FW,Brighton,20,1998,1,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,0,0.15,0.15,0.15,Matches
263,264,James Maddison,ENG,MF,Leicester City,22,1996,28,27,2399,6,3,0,0,4,0,0,0,0,0.23,0.34,4.4,4.4,6.7,0.17,0.25,0.42,0.17,0.42,Matches
264,265,Harry Maguire,ENG,DF,Manchester Utd,26,1993,29,29,2610,1,1,0,0,4,0,0,0,0,0.03,0.07,1.8,1.8,0.5,0.06,0.02,0.08,0.06,0.08,Matches
265,266,Riyad Mahrez,ALG,FWMF,Manchester City,28,1991,23,15,1389,7,8,0,0,0,0,0,0,0,0.45,0.97,3.9,3.9,7,0.25,0.46,0.71,0.25,0.71,Matches
266,267,Ainsley Maitland Niles,ENG,DF,Arsenal,21,1997,14,14,1210,0,2,0,0,5,1,0,0,0,0,0.15,0.2,0.2,1.5,0.02,0.11,0.13,0.02,0.13,Matches
267,268,Sadio Mane,SEN,FW,Liverpool,27,1992,26,24,2077,14,7,0,0,2,0,0,0,0,0.61,0.91,11.4,11.4,5.2,0.49,0.22,0.72,0.49,0.72,Matches
268,269,Javier Manquillo,ESP,DF,Newcastle Utd,25,1994,13,11,962,0,1,0,0,4,0,0,0,0,0,0.09,0,0,0.3,0,0.03,0.03,0,0.03,Matches
269,270,Solly March,ENG,DFFW,Brighton,25,1994,13,9,881,0,1,0,0,2,0,0,0,0,0,0.1,1.2,1.2,0.5,0.12,0.05,0.18,0.12,0.18,Matches
270,271,Pablo Mari,ESP,DF,Arsenal,25,1993,1,1,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
271,272,Adrian Mariappa,JAM,DF,Watford,32,1986,15,13,1228,0,0,0,0,4,1,0,0,0,0,0,0.3,0.3,0.4,0.02,0.03,0.05,0.02,0.05,Matches
272,273,Anthony Martial,FRA,FW,Manchester Utd,23,1995,23,22,1875,11,3,0,1,1,0,0,0,0,0.53,0.67,8.2,7.4,2.3,0.39,0.11,0.5,0.36,0.47,Matches
273,274,David Martin,ENG,GK,West Ham,33,1986,5,4,436,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
274,275,Martinelli,BRA,FW,Arsenal,18,2001,14,6,663,3,0,0,0,1,0,0,0,0,0.41,0.41,2.3,2.3,0.2,0.31,0.03,0.35,0.31,0.35,Matches
275,276,Adam Masina,ITA,DF,Watford,25,1994,17,13,1225,1,0,0,0,3,0,0,0,0,0.07,0.07,0.3,0.3,0.5,0.02,0.04,0.05,0.02,0.05,Matches
276,277,Arthur Masuaku,COD,DF,West Ham,25,1993,15,10,913,0,1,0,0,5,1,0,0,0,0,0.1,0.1,0.1,0.9,0.01,0.09,0.1,0.01,0.1,Matches
277,278,Juan Mata,ESP,MFFW,Manchester Utd,31,1988,17,8,736,0,2,0,0,1,0,0,0,0,0,0.24,1.2,1.2,2.1,0.15,0.25,0.4,0.15,0.4,Matches
278,279,Nemanja Matic,SRB,MF,Manchester Utd,30,1988,12,11,959,0,1,0,0,1,0,0,0,0,0,0.09,0.2,0.2,0.9,0.02,0.08,0.1,0.02,0.1,Matches
279,280,Joel Matip,CMR,DF,Liverpool,27,1991,8,7,631,1,0,0,0,0,0,0,0,0,0.14,0.14,0.2,0.2,0,0.03,0,0.03,0.03,0.03,Matches
280,281,Neal Maupay,FRA,FW,Brighton,22,1996,28,23,2112,8,2,1,1,3,0,0,0,0,0.3,0.38,9.6,8.9,2,0.41,0.08,0.49,0.38,0.46,Matches
281,282,James McArthur,SCO,MF,Crystal Palace,31,1987,28,28,2425,0,3,0,0,5,0,0,0,0,0,0.11,2.1,2.1,2.3,0.08,0.08,0.16,0.08,0.16,Matches
282,283,Oliver McBurnie,SCO,FW,Sheffield Utd,23,1996,26,15,1437,4,0,0,0,3,0,0,0,0,0.25,0.25,6.9,6.9,1.2,0.43,0.08,0.51,0.43,0.51,Matches
283,284,Alex McCarthy,ENG,GK,Southampton,29,1989,19,19,1710,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
284,285,James McCarthy,IRL,MF,Crystal Palace,28,1990,24,12,1179,0,0,0,0,6,0,0,0,0,0,0,0.3,0.3,0.6,0.03,0.05,0.07,0.03,0.07,Matches
285,286,John McGinn,SCO,MF,Aston Villa,24,1994,18,18,1537,3,2,0,0,2,0,0,0,0,0.18,0.29,2.7,2.7,1.9,0.16,0.11,0.27,0.16,0.27,Matches
286,287,David McGoldrick,IRL,FW,Sheffield Utd,31,1987,21,16,1353,0,2,0,0,2,0,0,0,0,0,0.13,5.6,5.6,1.6,0.37,0.1,0.47,0.37,0.47,Matches
287,288,Michael McGovern,NIR,GK,Norwich City,35,1984,2,1,159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
288,289,Kenny McLean,SCO,MF,Norwich City,27,1992,28,25,2290,1,1,0,0,4,0,0,0,0,0.04,0.08,1.4,1.4,1.6,0.05,0.06,0.11,0.05,0.11,Matches
289,290,Dwight McNeil,ENG,MF,Burnley,19,1999,29,29,2528,2,5,0,0,4,0,0,0,0,0.07,0.25,1.5,1.5,5.5,0.05,0.2,0.25,0.05,0.25,Matches
290,291,Scott McTominay,SCO,MF,Manchester Utd,22,1996,20,18,1547,4,1,0,0,2,0,0,0,0,0.23,0.29,1.4,1.4,0.7,0.08,0.04,0.12,0.08,0.12,Matches
291,292,Ben Mee,ENG,DF,Burnley,29,1989,29,29,2610,0,1,0,0,7,0,0,0,0,0,0.03,1.5,1.5,0.6,0.05,0.02,0.07,0.05,0.07,Matches
292,293,Benjamin Mendy,FRA,DF,Manchester City,25,1994,14,13,1115,0,2,0,0,2,0,0,0,0,0,0.16,0.2,0.2,1.1,0.01,0.09,0.1,0.01,0.1,Matches
293,294,Nampalys Mendy,FRA,MF,Leicester City,27,1992,5,3,202,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.01,0.03,0.04,0.01,0.04,Matches
294,295,Chris Mepham,WAL,DF,Bournemouth,21,1997,11,10,901,1,0,0,0,1,0,0,0,0,0.1,0.1,0.6,0.6,0.1,0.06,0.01,0.07,0.06,0.07,Matches
295,296,Max Meyer,GER,MFFW,Crystal Palace,23,1995,13,6,547,0,0,0,0,1,0,0,0,0,0,0,0.6,0.6,0.6,0.1,0.1,0.2,0.1,0.2,Matches
296,297,Luka Milivojevic,SRB,MF,Crystal Palace,28,1991,23,22,1986,2,1,2,2,9,0,0,0,0,0,0.05,2.1,0.6,1.9,0.1,0.09,0.18,0.03,0.11,Matches
297,298,James Milner,ENG,MFDF,Liverpool,33,1986,18,7,769,2,2,2,2,3,0,0,0,0,0,0.23,2,0.5,0.6,0.24,0.07,0.31,0.06,0.13,Matches
298,299,Yerry Mina,COL,DF,Everton,24,1994,25,23,2086,2,1,0,0,3,0,0,0,0,0.09,0.13,2.6,2.6,0.2,0.11,0.01,0.12,0.11,0.12,Matches
299,300,Takumi Minamino,JPN,FWMF,Liverpool,24,1995,3,0,80,0,0,0,0,0,0,0,0,0,0,0,0.6,0.6,0,0.72,0,0.72,0.72,0.72,Matches
300,301,Tyrone Mings,ENG,DF,Aston Villa,26,1993,23,23,2002,2,1,0,0,5,0,0,0,0,0.09,0.13,0.9,0.9,0.5,0.04,0.02,0.07,0.04,0.07,Matches
301,302,Henrikh Mkhitaryan,ARM,FW,Arsenal,30,1989,3,1,112,0,0,0,0,1,0,0,0,0,0,0,0.2,0.2,0.2,0.18,0.18,0.36,0.18,0.36,Matches
302,303,Nacho Monreal,ESP,DF,Arsenal,33,1986,3,3,270,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.3,0.03,0.08,0.11,0.03,0.11,Matches
303,304,Martin Montoya,ESP,DF,Brighton,28,1991,23,21,1705,0,1,0,0,5,0,0,0,0,0,0.05,1.3,1.3,1.5,0.07,0.08,0.15,0.07,0.15,Matches
304,305,Simon Moore,ENG,GK,Sheffield Utd,29,1990,1,1,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
305,306,Aaron Mooy,AUS,MFFW,Brighton,28,1990,22,20,1653,2,1,0,0,2,1,0,0,0,0.11,0.16,1.9,1.9,2.8,0.11,0.15,0.26,0.11,0.26,Matches
306,307,Wesley Moraes,BRA,FW,Aston Villa,22,1996,21,21,1782,5,1,0,1,3,0,0,0,0,0.25,0.3,5.2,4.3,0.9,0.26,0.05,0.31,0.22,0.26,Matches
307,308,Wes Morgan,JAM,DF,Leicester City,35,1984,8,1,166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0.03,0.03,0.03,Matches
308,309,Ravel Morrison,ENG,MF,Sheffield Utd,26,1993,1,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0.28,0.28,0.28,Matches
309,310,Mason Mount,ENG,MFFW,Chelsea,20,1999,29,25,2298,6,4,0,0,3,0,0,0,0,0.23,0.39,5.9,5.9,3.4,0.23,0.13,0.36,0.23,0.36,Matches
310,311,Lucas Moura,BRA,FWMF,Tottenham,26,1992,27,18,1682,4,2,0,0,2,0,0,0,0,0.21,0.32,5.4,5.4,1.7,0.29,0.09,0.38,0.29,0.38,Matches
311,312,Lys Mousset,FRA,FW,Sheffield Utd,23,1996,23,10,1021,5,4,0,0,1,0,0,0,0,0.44,0.79,3.3,3.3,2.4,0.29,0.21,0.5,0.29,0.5,Matches
312,313,Joao Moutinho,POR,MF,Wolves,32,1986,29,27,2436,1,6,0,0,5,0,0,0,0,0.04,0.26,0.8,0.8,5.3,0.03,0.19,0.22,0.03,0.22,Matches
313,314,Glenn Murray,ENG,FW,Brighton,35,1983,19,6,711,1,0,0,0,0,0,0,0,0,0.13,0.13,2,2,0.4,0.26,0.05,0.31,0.26,0.31,Matches
314,315,Shkodran Mustafi,GER,DF,Arsenal,27,1992,8,6,622,0,1,0,0,0,0,0,0,0,0,0.14,0.7,0.7,0,0.09,0,0.09,0.09,0.09,Matches
315,316,Yoshinori Muto,JPN,FWMF,Newcastle Utd,27,1992,7,2,205,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.04,0.03,0.07,0.04,0.07,Matches
316,317,Georges Kevin NKoudou,FRA,FW,Tottenham,24,1995,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.59,0,0.59,0.59,0.59,Matches
317,318,Marvelous Nakamba,ZIM,MF,Aston Villa,25,1994,21,18,1629,0,0,0,0,4,0,0,0,0,0,0,0.2,0.2,0.5,0.01,0.03,0.04,0.01,0.04,Matches
318,319,Wilfred Ndidi,NGA,MF,Leicester City,22,1996,23,20,1894,2,1,0,0,3,0,0,0,0,0.1,0.14,1.5,1.5,0.4,0.07,0.02,0.09,0.07,0.09,Matches
319,320,Tanguy Ndombele,FRA,MF,Tottenham,22,1996,19,12,944,2,2,0,0,2,0,0,0,0,0.19,0.38,0.4,0.4,1.3,0.04,0.12,0.16,0.04,0.16,Matches
320,321,Reiss Nelson,ENG,FW,Arsenal,19,1999,11,5,463,0,0,0,0,1,0,0,0,0,0,0,0.6,0.6,0.3,0.12,0.06,0.18,0.12,0.18,Matches
321,322,Pedro Neto,POR,FWMF,Wolves,19,2000,21,7,735,2,2,0,0,2,0,0,0,0,0.24,0.49,1.4,1.4,2.3,0.17,0.28,0.44,0.17,0.44,Matches
322,323,Ruben Neves,POR,MF,Wolves,22,1997,29,26,2278,2,1,0,0,7,0,0,0,0,0.08,0.12,1.3,1.3,1.3,0.05,0.05,0.1,0.05,0.1,Matches
323,324,Jeremy Ngakia,ENG,DF,West Ham,18,2000,4,4,360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
324,325,Oumar Niasse,SEN,FW,Everton,29,1990,3,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
325,326,Eddie Nketiah,ENG,FW,Arsenal,20,1999,5,3,251,1,0,0,0,0,0,0,0,0,0.36,0.36,1.4,1.4,0.3,0.51,0.1,0.61,0.51,0.61,Matches
326,327,Mark Noble,ENG,MF,West Ham,32,1987,26,26,2138,4,1,3,3,4,0,0,0,0,0.04,0.08,2.9,0.6,1.3,0.12,0.06,0.18,0.02,0.08,Matches
327,328,Oliver Norwood,NIR,MF,Sheffield Utd,28,1991,28,28,2373,1,0,1,1,6,0,0,0,0,0,0,1.5,0.7,3.4,0.06,0.13,0.19,0.03,0.16,Matches
328,329,Orjan Nyland,NOR,GK,Aston Villa,28,1990,3,1,179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
329,330,Jack OConnell,ENG,DF,Sheffield Utd,25,1994,28,28,2520,0,1,0,0,3,0,0,0,0,0,0.04,1.3,1.3,2.2,0.05,0.08,0.12,0.05,0.12,Matches
330,331,Michael Obafemi,IRL,FW,Southampton,19,2000,15,5,488,2,0,0,0,1,0,0,0,0,0.37,0.37,0.9,0.9,0.7,0.16,0.13,0.29,0.16,0.29,Matches
331,332,Angelo Ogbonna,ITA,DF,West Ham,31,1988,24,24,2160,2,0,0,0,4,0,0,0,0,0.08,0.08,1.5,1.5,0,0.06,0,0.06,0.06,0.06,Matches
332,333,Divock Origi,BEL,FW,Liverpool,24,1995,22,5,528,3,1,0,0,0,0,0,0,0,0.51,0.68,2,2,0.1,0.34,0.02,0.35,0.34,0.35,Matches
333,334,Ben Osborn,ENG,DFMF,Sheffield Utd,24,1994,7,0,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0.18,0.18,0,0.18,Matches
334,335,Nicolas Otamendi,ARG,DF,Manchester City,31,1988,19,15,1416,2,0,0,0,3,0,0,0,0,0.13,0.13,2.3,2.3,0.2,0.15,0.01,0.16,0.15,0.16,Matches
335,336,Alex Oxlade Chamberlain,ENG,MFFW,Liverpool,25,1993,21,13,1103,3,0,0,0,1,0,0,0,0,0.24,0.24,2.3,2.3,1.1,0.19,0.09,0.28,0.19,0.28,Matches
336,337,Mesut Ozil,GER,MF,Arsenal,30,1988,18,18,1438,1,2,0,0,1,0,0,0,0,0.06,0.19,1.4,1.4,2.3,0.09,0.14,0.23,0.09,0.23,Matches
337,338,Emerson Palmieri,ITA,DF,Chelsea,24,1994,14,13,1021,0,0,0,0,3,0,0,0,0,0,0,0.9,0.9,1.4,0.08,0.12,0.2,0.08,0.2,Matches
338,339,Sokratis Papastathopoulos,GRE,DF,Arsenal,31,1988,19,19,1696,2,0,0,0,6,0,0,0,0,0.11,0.11,1.1,1.1,0.2,0.06,0.01,0.07,0.06,0.07,Matches
339,340,Troy Parrott,IRL,MF,Tottenham,17,2002,2,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
340,341,Rui Patricio,POR,GK,Wolves,31,1988,29,29,2610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
341,342,Pedro,ESP,FW,Chelsea,32,1987,9,8,654,1,1,0,0,1,0,0,0,0,0.14,0.28,2.6,2.6,0.8,0.35,0.11,0.46,0.35,0.46,Matches
342,343,Nicolas Pepe,CIV,FW,Arsenal,24,1995,24,17,1591,4,6,1,1,3,0,0,0,0,0.17,0.51,4.4,3.6,3.4,0.25,0.19,0.44,0.2,0.4,Matches
343,344,Andreas Pereira,BRA,MFFW,Manchester Utd,23,1996,23,18,1446,1,3,0,0,3,0,0,0,0,0.06,0.25,2.3,2.3,3.6,0.14,0.22,0.37,0.14,0.37,Matches
344,345,Ricardo Pereira,POR,DF,Leicester City,25,1993,28,28,2520,3,2,0,0,1,0,0,0,0,0.11,0.18,1.2,1.1,3.8,0.04,0.13,0.18,0.04,0.17,Matches
345,346,Roberto Pereyra,ARG,FWMF,Watford,28,1991,23,13,1326,3,0,1,1,3,0,0,0,0,0.14,0.14,2.2,1.5,1.8,0.15,0.12,0.27,0.1,0.22,Matches
346,347,Ayoze Perez,ESP,MFFW,Leicester City,26,1993,25,21,1581,7,4,1,1,0,0,0,0,0,0.34,0.57,5.1,4.3,3,0.29,0.17,0.46,0.24,0.42,Matches
347,348,Jordan Pickford,ENG,GK,Everton,25,1994,29,29,2610,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
348,349,Brandon Pierrick,ENG,DF,Crystal Palace,17,2001,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0.89,0.89,0,0.89,Matches
349,350,Erik Pieters,NED,DF,Burnley,30,1988,15,14,1234,0,3,0,0,1,0,0,0,0,0,0.22,0.2,0.2,1,0.01,0.07,0.09,0.01,0.09,Matches
350,351,Daniel Podence,POR,MFFW,Wolves,23,1995,4,0,46,0,0,0,0,0,0,0,0,0,0,0,0.3,0.3,0.1,0.56,0.15,0.71,0.56,0.71,Matches
351,352,Paul Pogba,FRA,MF,Manchester Utd,26,1993,7,5,522,0,2,0,1,0,0,0,0,0,0,0.34,1.6,0.9,1.5,0.28,0.26,0.55,0.15,0.42,Matches
352,353,Nick Pope,ENG,GK,Burnley,27,1992,29,29,2610,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0,0.02,0.02,0,0.02,Matches
353,354,Dennis Praet,BEL,MF,Leicester City,25,1994,21,11,969,1,2,0,0,2,0,0,0,0,0.09,0.28,1.2,1.2,0.6,0.11,0.06,0.17,0.11,0.17,Matches
354,355,Sebastian Prodl,AUT,DF,Watford,32,1987,1,1,56,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.12,0,0.12,0.12,0.12,Matches
355,356,Davy Propper,NED,MF,Brighton,27,1991,26,26,2340,1,2,0,0,4,0,0,0,0,0.04,0.12,1.4,1.4,1.9,0.05,0.07,0.13,0.05,0.13,Matches
356,357,Teemu Pukki,FIN,FW,Norwich City,29,1990,28,28,2480,11,3,2,2,3,0,0,0,0,0.33,0.44,11.9,10.4,3.2,0.43,0.12,0.55,0.38,0.49,Matches
357,358,Christian Pulisic,USA,FW,Chelsea,20,1998,16,12,1073,5,2,0,0,0,0,0,0,0,0.42,0.59,5.2,5.2,2.1,0.43,0.17,0.61,0.43,0.61,Matches
358,359,Ignacio Pussetto,ARG,FWMF,Watford,23,1995,6,0,62,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
359,360,Domingos Quina,POR,MF,Watford,19,1999,4,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13,0,0.13,0.13,0.13,Matches
360,361,Aaron Ramsdale,ENG,GK,Bournemouth,21,1998,28,28,2520,0,1,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,Matches
361,362,Darren Randolph,IRL,GK,West Ham,32,1987,2,2,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
362,363,Marcus Rashford,ENG,FW,Manchester Utd,21,1997,22,22,1875,14,4,5,7,2,0,0,0,0,0.43,0.62,13.6,8.3,2.7,0.65,0.13,0.78,0.4,0.53,Matches
363,364,Nathan Redmond,ENG,MFFW,Southampton,25,1994,23,23,1954,3,1,0,0,2,0,0,0,0,0.14,0.18,3.9,3.9,2.7,0.18,0.13,0.31,0.18,0.31,Matches
364,365,Pepe Reina,ESP,GK,Aston Villa,36,1982,6,6,540,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
365,366,Declan Rice,ENG,MF,West Ham,20,1999,29,29,2610,0,2,0,0,5,0,0,0,0,0,0.07,0.7,0.7,1.1,0.02,0.04,0.06,0.02,0.06,Matches
366,367,Richarlison,BRA,FW,Everton,22,1997,27,27,2352,10,3,0,0,5,0,0,0,0,0.38,0.5,7.4,7.4,5.1,0.28,0.19,0.48,0.28,0.48,Matches
367,368,Diego Rico,ESP,DF,Bournemouth,26,1993,21,21,1792,0,2,0,0,6,0,0,0,0,0,0.1,0.3,0.3,2,0.02,0.1,0.12,0.02,0.12,Matches
368,369,Jairo Riedewald,NED,DF,Crystal Palace,22,1996,10,6,610,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.4,0.01,0.06,0.07,0.01,0.07,Matches
